Disease,Genes,id,did,Summary
allergic bronchopulmonary aspergillosis,"['MBL2', 'TLR9', 'HLA-DRB1', 'TNFRSF1A']",MESH:D001229,DOID:13166,"An aspergillosis that involves an allergic reaction due to the spores of Aspergillus moulds (A. fumigatus), which colonizes the mucus in the airways causing inflammation. The disease has symptom cough, has symptom wheezing and has symptom fever."
allergic conjunctivitis,"['IL4R', 'IL1RN', 'IL13', 'TNC']",MESH:D003233,DOID:11204,"A chronic conjunctivitis that is an inflammation of the conjunctiva involing red, itchy, and watery eyes a resulting from an exposure to an allergen or an irritant."
allergic contact dermatitis,"['NAT2', 'IL18BP', 'TAP2', 'TLR4', 'CCR1', 'NAT1']",MESH:D017449,DOID:3042,"A contact dermatitis that is an allergic skin reaction to foreign chemical or substances leading to red, itchy, weepy reaction where the skin has come into contact with a substance that the immune system recognizes as foreign."
allergic disease,"['CD14', 'HLA-DQA1', 'FCGR3A', 'IL13', 'AGT', 'HLA-DRB1', 'HLA-DRA', 'GSTP1', 'MIF', 'TAP1', 'LTA', 'GSTM1', 'ACE', 'CYSLTR1']",MESH:D006967,DOID:1205,"An immune system disease that is an exaggerated immune response to allergens, such as insect venom, dust mites, pollen, pet dander, drugs or some foods."
alopecia,"['FOXN1', 'ESR2', 'HR', 'HLA-B', 'CDSN', 'VDR', 'TPMT']",MESH:D000505,DOID:987,A hypotrichosis that is characterized by a loss of hair from the head or body.
alopecia areata,"['HLA-DQA1', 'NOTCH4', 'IL2', 'PTPN22', 'IL18', 'IL1RN', 'MX1', 'CTLA4']",MESH:D000506,DOID:986,An autoimmune disease resulting in the loss of hair on the scalp and elsewhere on the body initially causing bald spots.
alopecia universalis,['HR'],MESH:C537055,DOID:0050634,An alopecia characterized by the complete loss of hair on the scalp and body.
"alopecia, neurologic defects, and endocrinopathy syndrome",['RBM28'],MESH:C567425,DOID:0112244,"A syndrome characterized by alopecia, neurologic defects, and endocrinopathy that has_material_basis_in homozygous or compound heterozygous mutation in the RBM28 gene on chromosome 7q32.1."
alpha 1-antitrypsin deficiency,['SERPINA1'],MESH:D019896,DOID:13372,"A plasma protein metabolism disease that has_material_basis_in defective production of the protease inhibitor alpha 1-antitrypsin (A1AT), leading to decreased A1AT activity in the blood and lungs, and deposition of excessive abnormal A1AT protein in liver cells."
alpha thalassemia,"['HBA2', 'GPX1', 'HBB']",MESH:D017085,DOID:1099,A thalassemia involving the genes HBA1and HBA2 hemoglobin genes.
alpha-mannosidosis,['MAN2B1'],MESH:D008363,DOID:3413,A lysosomal storage disease that has_material_basis_in deficiency of the alpha-D-manosidase enzyme resulting in the impairment of cell function from a build up of complex sugars derived from glycoproteins in the lysosome.
alpha-methylacyl-CoA racemase deficiency,['AMACR'],MESH:C565768,DOID:0060602,"A peroxisomal disease that is characterized by retinitis pigmentosa resulting in progressive visual failure, learning difficulties, a peripheral neuropathy, and hypogonadism and that has_material_basis_in homozygous mutation in the AMACR gene on chromosome 5p13.2-q11.1."
alpha-thalassemia myelodysplasia syndrome,['ATRX'],MESH:C563023,DOID:0112125,A syndrome characterized by acquired alpha-thalassemia in association with a multilineage myelodysplasia that has_material_basis_in somatic mutation in the ATRX gene on chromosome Xq21.1.
alternating hemiplegia of childhood,"['ATP1A3', 'ATP1A2']",MESH:C536589,DOID:0050635,A hemiplegia characterized by recurrent episodes of temporary weakness or complete paralysis on one or both sides of the body.
alveolar echinococcosis,['HLA-DRB1'],MESH:C536591,DOID:12148,"An echinococcosis that is caused by the larvae of Echinococcus multilocularis affecting the liver as a slow growing, destructive tumor, with abdominal pain, biliary obstruction, and occasionally metastatic lesions into the lungs and brain."
alveolar soft part sarcoma,['ASPSCR1'],MESH:D018234,DOID:4239,A soft tissue cancer that is a slow growing tumor of an unknown origin that effects children and effects young adults.
amelogenesis imperfecta,"['SP6', 'AMELX', 'FAM20C']",MESH:D000567,DOID:2187,A dental enamel hypoplasia characterized by abnormal enamel formation.
amenorrhea,['FSHB'],MESH:D000568,DOID:13938,A female reproductive system disease that is characterized by the absence of menstruation.
amino acid metabolic disorder,"['PRODH', 'PHGDH', 'ASL', 'NAGS', 'GAMT', 'CTH', 'HMGCL', 'PCCB', 'SLC25A15', 'IVD', 'PCCA']",MESH:D000592,DOID:9252,An inherited metabolic disorder that is characterized by impaired synthesis and degradation of amino acids.
amyloidosis,"['SERPINE1', 'APCS', 'GOT1']",MESH:D000686,DOID:9120,"A disease of metabolsism that is characterized by extracellular tissue deposition of mis-folded amyloid fibrils built up by twisted protofilaments, deposited in the spaces between the cells of vital organs, causing disruption of organ tissue structure and function. These deposits may result in a wide range of clinical manifestations depending upon their type, location, and the amount of deposition."
amyotrophic lateral sclerosis,"['FUS', 'PON3', 'TFAM', 'OPTN', 'UBQLN2', 'GRN', 'VDR', 'GOT1', 'ALS2', 'NEFL', 'GSK3A', 'SLC11A2', 'NEFH', 'HMGB1', 'CHMP2B', 'DPP6', 'GSK3B', 'ANG', 'PPARGC1A', 'TXNRD1', 'SOD1', 'PON2', 'VAPB', 'UNC13A', 'MTHFR', 'ITPR2']",MESH:D000690,DOID:332,"A motor neuron disease that is characterized by muscle spasticity, rapidly progressive weakness due to muscle atrophy, difficulty in speaking, swallowing, and breathing."
amyotrophic lateral sclerosis-parkinsonism/dementia complex 1,['TRPM7'],MESH:D000690,DOID:0111246,"A neurodegenerative disease characterized by chronic, progressive amyotrophic lateral sclerosis and parkinsonism-dementia. Susceptibility to this disease is influenced by heterozygous mutation in TRPM7 on 15q21.2."
androgen insensitivity syndrome,['AR'],MESH:D013734,DOID:4674,"A disorder of sexual developement that is characterized by the inability of the cell to respond to androgens in individuals with a karyotype of 46,XY resulting in female physical traits but male genetic makeup."
anemia,"['PON1', 'HK1', 'ANK1', 'SLC11A2', 'GPX1', 'EPHX1', 'GH1', 'ITPA', 'ERCC1', 'TF', 'EPOR', 'ACE', 'G6PD', 'MTHFR']",MESH:D000740,DOID:2355,A hematopoietic system disease that is characterized by a decrease in the normal number of red blood cells.
anencephaly,"['MTRR', 'NUAK2', 'TRIM36', 'RPGRIP1L']",MESH:D000757,DOID:0060668,"A congenital nervous system abnormality characterized by failure of the anterior neuropore to close resulting in partial or complete absence of the cranial vault accompanied by absence of overlying tissues, including the brain and cerebral hemispheres, skull and scalp."
angioedema,"['SERPING1', 'F12']",MESH:D000799,DOID:1558,"A skin disease characterized by one or more areas of well-demarcated, non-pitting edema of deep subcutaneous tissues."
angiomyolipoma,['OGG1'],MESH:D018207,DOID:3314,"A cell type benign neoplasm that is primarily located in the kidneys but may be found in the lungs, liver or other organs and is derived from perivascular epithelioid cells."
angiosarcoma,"['STAT3', 'KCNN4', 'PTPRB']",MESH:D006394,DOID:0001816,A vascular cancer that derives_from the cells that line the walls of blood vessels or lymphatic vessels.
angle-closure glaucoma,"['MMP9', 'CAT', 'NOS3', 'HGF', 'GSTM1', 'MTHFR']",MESH:D015812,DOID:13550,"A glaucoma characterized by closure of the anterior chamber angle such that aqueous outflow is blocked and the intraocular pressure becomes inappropriately elevated leading to optic nerve damage and visual field loss. Angle-closure glaucoma has_symptom progressive peripheral vision loss, decreased vision, and pain, redness, and headache in acute cases. Angle closure glaucoma can be caused by anatomically narrow angle, injury to the trabecular meshwork, and injuries to the anterior chamber, such as neovascularization and uveitis."
aniridia,"['TRIM44', 'PAX6', 'ELP4']",MESH:D015783,DOID:12271,An iris disease that is characterized by a complete or partial absence of the colored part of the eye.
ankyloblepharon-ectodermal defects-cleft lip/palate syndrome,['TP63'],MESH:C535289,DOID:0090119,"An ectodermal dysplasia that is characterized by ankyloblepharon filiforme adnatum and cleft lip and palate, and that has_material_basis_in heterozygous mutation in the tumor protein p63 (TP63) gene on chromosome 3q27."
ankylosing spondylitis,"['IRAK1', 'HLA-B', 'ACE', 'HLA-DRB1', 'TAP1', 'IL17A', 'PSMB9', 'KDM5A', 'ANO6', 'TAP2', 'JAK2', 'TNFRSF1B', 'CYP1A1', 'IL23R', 'ASPN', 'HLA-DQA1', 'PTGER4', 'MTHFR']",MESH:D013167,DOID:7147,"A bone inflammation disease that results_in inflammation in the joints of the spine and pelvis. The disease has_symptom pain, has_symptom stiffness in the spine, has_symptom stiffness in the neck, has_symptom stiffness in the hips, has_symptom stiffness in the jaw and has_symptom stiffness in the rib cage."
anodontia,"['MMP13', 'MMP9', 'GLI3', 'MSX1']",MESH:D000848,DOID:13714,A tooth disease that is characterized by complete absence of permanent teeth.
anorexia nervosa,"['AKAP6', 'HTR2A', 'NR3C1']",MESH:D000856,DOID:8689,"An eating disorder characterized by refusal to maintain a healthy body weight, and an obsessive fear of gaining weight due to a distorted self image."
antiphospholipid syndrome,"['HLA-DQA1', 'PLAT', 'HLA-DRB1', 'APOH', 'CD40LG']",MESH:D016736,DOID:2988,An autoimmune disease that is characterized by recurrent venous or arterial thrombosis and/or fetal losses associated with characteristic elevated levels of antibodies directed against membrane anionic phospholipids (anticardiolipin).
antisocial personality disorder,"['ABCB1', 'DRD4']",MESH:D000987,DOID:10939,"A personality disorder that involves a pervasive pattern of disregard for, and violation of, the rights of others that begins in childhood or early adolescence and continues into adulthood."
antithrombin III deficiency,['SERPINC1'],MESH:D020152,DOID:3755,A thrombophilia that is characterized by the tendency to form clots in the veins.
anxiety disorder,"['FNTB', 'HTR1A', 'NPY', 'GAD1', 'SLC6A4', 'DRD2', 'CTNND2']",MESH:D001008,DOID:2030,"A cognitive disorder that involves an excessive, irrational dread of everyday situations."
aortic aneurysm,"['EFEMP2', 'ELN', 'FBN1']",MESH:D001014,DOID:3627,An aortic disease that is characterized by an enlargement (dilation) of the aorta to greater than 1.5 times normal size.
aortic disease,['SMAD4'],MESH:D001018,DOID:520,An artery disease that is characterized by degeneration of the cells composing the aortic wall.
aortic valve insufficiency,['MBL2'],MESH:D001022,DOID:57,"An aortic valve disease that is characterized by leaking of the aortic valve of the heart causes blood to flow in the reverse direction during ventricular diastole, from the aorta into the left ventricle."
aortic valve stenosis,"['PPP3CB', 'MMP1', 'ELN', 'VDR', 'APOB']",MESH:D001024,DOID:1712,An aortic valve disease that is characterized by narrowing of the heart's aortic valve opening.
aphthous stomatitis,"['IL10', 'MTHFR', 'TGFB1']",MESH:D013281,DOID:9663,A stomatitis characterized by the repeated formation of benign and non-contagious mouth ulcers.
aplasia of lacrimal and salivary glands,['FGF10'],MESH:C562407,DOID:0111549,"A syndrome characterized by irritable eyes, epiphora, xerostomia, variable aplasia or hypoplasia of the lacrimal, parotid, submandibular, and sublingual glands, and absence of the lacrimal puncta that has_material_basis_in heterozygous mutation in the FGF10 gene on chromosome 5p12."
aplastic anemia,"['TGFB1', 'HLA-DQA1', 'PRF1', 'GSTT1', 'DKC1', 'EPHX1', 'NBN', 'THPO', 'SBDS', 'GSTM1', 'IFNG']",MESH:D000741,DOID:12449,"An anemia that is characterized by a deficiency of red blood cells, white blood cells and platelets produced by bone marrow."
apolipoprotein C-III deficiency,['APOC3'],MESH:C566270,DOID:0111370,A cholesterol-ester transfer protein deficiency characterized by elevated levels of alpha-lipoprotein in the blood that has_material_basis_in heterozygous mutation in the APOC3 gene on chromosome 11q23.3.
apparent mineralocorticoid excess syndrome,['HSD11B2'],MESH:D043204,DOID:4367,"A steroid inherited metabolic disorder characterized by decreased conversion of biologically active cortisol to inactive cortisone resulting in low aldosterone levels, metabolic alkalosis, hypernatremia, hypokalemia and early-onset severe hypertension that has_material_basis_in homozygous or compound heterozygous mutation in the HSD11B2 gene on chromosome 16."
appendicitis,['F2'],MESH:D001064,DOID:8337,"A gastrointestinal system infectious disease that involves inflammation and infection of the appendix caused by the blockage of the lumen with a small, hard piece of stool, a foreign body or worms. Mucus backs up in the appendiceal lumen, causing bacteria that live inside the appendix to multiply. The infection has_symptom pain, in the upper abdomen initially and later in the lower abdomen, has_symptom nausea, has_symptom vomiting and has_symptom fever."
argininosuccinic aciduria,['ASL'],MESH:D056807,DOID:14755,An amino acid metabolic disorder that involves the accumulation of argininosuccinic acid (ASA) in the blood and urine.
aromatic L-amino acid decarboxylase deficiency,[],MESH:C537437,DOID:0090123,"An inherited metabolic disorder that is characterized by reduced production of serotonin and dopamine resulting in hypotonia, hypokinesia, ptosis oculogyric crises, and signs of autonomic dysfunction, and has_material_basis_in autosomal recessive inheritance of homozygous or compound heterozygous mutation in the dopa decarboxylase gene (DDC) on chromosome 7p12."
arrhythmogenic right ventricular cardiomyopathy,"['DSC2', 'LMNA', 'ACTN2', 'DSP', 'RYR2', 'TMEM43', 'PKP2', 'CDH2', 'DES', 'TGFB3', 'DSG2']",MESH:D019571,DOID:0050431,"An intrinsic cardiomyopathy that is characterized by hypokinetic areas involving the free wall of the right ventricle, with fibrofatty replacement of the right ventricular myocardium, with associated arrhythmias originating in the right ventricle and limited or no involvement of the left ventricle."
arrhythmogenic right ventricular dysplasia 1,['TGFB3'],MESH:C536932,DOID:0110070,An arrhythmogenic right ventricular dysplasia that has_material_basis_in heterozygous mutation in the TGFB3 gene on chromosome 14q24.
arterial calcification of infancy,"['ABCC6', 'ENPP1']",MESH:C537440,DOID:0050644,"A vascular disease that is characterized by generalized calcification of the arterial internal elastic lamina, leading to rupture of the lamina and occlusive changes in the tunica intima with stenosis and decreased elasticity of the vessel wall."
arterial tortuosity syndrome,"['EFEMP2', 'SLC2A10']",MESH:C565942,DOID:0050645,A connective tissue disease that is characterized by elongation and generalized tortuosity of the major arteries including the aorta.
arteriosclerosis,"['MMP3', 'MGP', 'HSPD1', 'HP', 'MMP9', 'ABCG8', 'TLR4', 'IL10', 'ABCG5', 'IL6ST', 'LDLR', 'MMP12', 'MSR1', 'ITGA2', 'AKR1B1', 'MMP1', 'PTGS2', 'ALOX5', 'APOB', 'MMP13', 'IL1B', 'PON1', 'LCAT', 'TNFSF10', 'ESR1', 'PTGER4', 'SERPINA1', 'MMP2', 'F13A1', 'NPY']",MESH:D001161,DOID:2349,An artery disease that is characterized by a thickening and hardening of arterial walls in the arteries.
arteriovenous malformations of the brain,"['ENG', 'IL6']",MESH:D002538,DOID:0060688,A central nervous system benign neoplasm that derives_from endothelial cells and that is located_in the brain.
arthritis,"['IL23R', 'GC', 'FCGR3A', 'HLA-DQA1', 'TLR4', 'PARP1', 'CD40', 'B2M']",MESH:D001168,DOID:848,"A bone inflammation disease that involves a response to irritation or injury, characterized by joint pain, swelling, stiffness located_in joint."
arthropathy,['CCN6'],MESH:D007592,DOID:381,A bone disease that is located_in the joint.
arthus reaction,['FCGR2A'],MESH:D001183,DOID:1556,"A hypersensitivity reaction type III disease that is characterized by local vasculitis, has_symptom pain, edema, hemorrhage, or necrosis, and has_material_basis_in deposition of antigen-antibody immune complexes in vascular or serosal walls."
articulation disorder,"['CNTNAP2', 'FOXP2']",MESH:D001184,DOID:4186,"A speech disorder that involves mispronouncing speech sounds by omitting, distorting, substituting, or adding sounds which can make speech difficult to understand."
asbestosis,"['GSTM1', 'EPHX1']",MESH:D001195,DOID:10320,A pneumoconiosis caused by inhalation and retention of asbestos fibers.
aspartylglucosaminuria,['AGA'],MESH:D054880,DOID:0050461,"A lysosomal storage disease that is characterized by delayed speech at 2-3 years of age, has_material_basis_in mutations in the AGA gene that result in the absence or shortage of the aspartylglucosaminidase enzyme in lysosomes, preventing the normal breakdown of glycoproteins."
aspergillosis,"['AGER', 'TLR6', 'CLEC1A', 'CLEC7A', 'TLR1', 'S100B', 'CD209', 'IL15']",MESH:D001228,DOID:13564,"An opportunistic mycosis that involves a spectrum of diseases of humans and animals caused by members of the genus Aspergillus infecting lungs, brain, kidney, heart, bone, eyes, sinuses, skin and gastrointestinal tract. It is a serious illnesses in people with a weakened immune system."
asphyxia neonatorum,['GSTM1'],MESH:D001238,DOID:11088,"A respiratory system disease that is characterized by deprivation of oxygen to a newborn infant that lasts long enough during the birth process to cause physical harm, usually to the brain."
asphyxiating thoracic dystrophy 2,['IFT80'],MESH:C566982,DOID:0110086,An asphyxiating thoracic dystrophy that has_material_basis_in homozygous mutation in the IFT80 gene on chromosome 3q25.
aspiration pneumonia,['ACE'],MESH:D011015,DOID:0050152,A bacterial pneumonia which is an acute pulmonary inflammatory response that develops after the inhalation of colonized oropharyngeal material containing bacteria. It is seen in individuals with dysphagia and gastric dysmotility. The disease has_symptom tachypnea and has_symptom cough.
asthma,"['NAT2', 'SERPINE1', 'NOD2', 'GSTM3', 'CDH1', 'C5', 'PARP1', 'CHIA', 'NOD1', 'CHML', 'LGALS3', 'EGR1', 'CCL5', 'HLA-DRB1', 'TNC', 'SOD2', 'TAP1', 'NPSR1', 'GSTM1', 'CCL2', 'ADA', 'IL13', 'ARG1', 'F2RL1', 'MIF', 'SCGB1A1', 'PGF', 'C3AR1', 'MS4A2', 'FCGR3A', 'HNMT', 'HLA-DPB1', 'MEFV', 'IL4', 'IL15', 'CX3CR1', 'CCR2', 'CRHR1', 'DEFB1', 'ADORA1', 'CRHR2', 'TLR4', 'HDC', 'SLC6A4', 'ELP1', 'CYSLTR2', 'ADAM33', 'MPO', 'DPP10', 'CTLA4', 'MBL2', 'GSTP1', 'IL2', 'IL1RN', 'CCL26', 'ALOX5', 'CLCA1', 'IL1B', 'CAT', 'GSTA1', 'CHI3L1', 'PLA2G7', 'MUC2', 'HLA-DPA1', 'TLR6', 'CYBA', 'HLA-DQA1', 'ARG2', 'TLR9', 'BDNF', 'NR3C1', 'HLA-DQA2', 'IL5RA', 'IRAK3', 'ITGB3', 'IL16', 'CCR5', 'IL18R1', 'MUC7', 'IL10', 'CXCR3', 'ADORA2A', 'HLA-B', 'VDR', 'IL21', 'TGFB1', 'ACSL3', 'TLR10', 'CD86', 'HLA-DRA', 'CSF3', 'SFTPD', 'CD40', 'NOS2', 'ABO', 'EDN1', 'CD14', 'ALOX5AP', 'HLA-G', 'NOS3', 'IRF1', 'TLR1', 'CHRM2', 'IL3', 'NQO1', 'TACR2', 'GSTT1', 'NTF3', 'CYSLTR1', 'C3', 'NOS1', 'IL2RB', 'MMP9', 'IL5', 'CCL24', 'ACE', 'IL12B', 'BDKRB2', 'TLR2', 'PTGDR2', 'NGF', 'IL1A', 'PTGS2', 'IL27', 'IL13RA1', 'IL17A', 'HLA-DRB3', 'SCGB3A2', 'CCR3', 'IL1RL1', 'IL18', 'CYP2D6', 'EDNRB', 'TBXA2R', 'THBD', 'TLR3', 'ADRB2', 'P2RY12', 'CCL11', 'EPHX1', 'LTA', 'HMGCR', 'CHRM1', 'MYLK', 'IL4R', 'MTHFR']",MESH:D001249,DOID:2841,"A bronchial disease that is characterized by chronic inflammation and narrowing of the airways, which is caused by a combination of environmental and genetic factors. The disease has_symptom recurring periods of wheezing (a whistling sound while breathing), has_symptom chest tightness, has_symptom shortness of breath, has_symptom mucus production and has_symptom coughing."
"asthma, nasal polyps, and aspirin intolerance","['TBX21', 'PTGER2']",MESH:C565935,DOID:0111579,"A respiratory system disease characterized by asthma, aspirin-induced bronchoconstriction, and nasal polyps."
astroblastoma,['PIK3R1'],MESH:D018302,DOID:7305,"A malignant astrocytoma that is characterized by tumor cells with characteristics suggestive of an astrocytic origin (positive for GFAP), arranged perivascularly."
ataxia telangiectasia,"['IL2', 'BAK1', 'HDAC4', 'BIK', 'IFNG']",MESH:D001260,DOID:12704,"An autosomal recessive cerebellar ataxia that is characterized by cerebellar ataxia, telangiectases, immune defects, and a predisposition to malignancy and that has_material_basis_in homozygous or compound heterozygous mutation in the ATM gene on chromosome 11q22."
atopic dermatitis,"['NAT2', 'TLR4', 'CLDN1', 'VDR', 'TLR2', 'CTLA4', 'TGFB1', 'MBL2', 'SELP', 'GSTP1', 'IL2', 'GSTM1', 'IL13', 'IL18', 'DOCK8', 'SHOC2', 'MS4A2', 'BDNF', 'GSTT1', 'HNMT', 'HAVCR1', 'IL4R', 'IL4']",MESH:D003876,DOID:3310,An allergic contact dermatitis that is a chronically relapsing inflammatory allergic response located_in the skin that causes itching and flaking.
atrial fibrillation,"['MMP3', 'AGT', 'GJA5', 'ANK2', 'KCNE1', 'MMP1', 'KCNQ1', 'KCNJ5', 'ISL1', 'GATA5', 'ACE', 'KCNE2', 'AGXT2']",MESH:D001281,DOID:0060224,"A heart conduction disease that is characterized by uncoordinated electrical activity in the heart's upper chambers (the atria), which causes the heartbeat to become fast and irregular and has symptoms palpitations, weakness, fatigue, lightheadedness, dizziness, confusion, shortness of breath and chest pain."
atrial heart septal defect,"['TBX2', 'MYH6', 'GATA4', 'TBX20', 'ISL1', 'BMP4', 'NKX2-5']",MESH:D006344,DOID:1882,A heart septal defect located_in in the septum that separates the two atria of the heart.
atrichia with papular lesions,['HR'],MESH:C565924,DOID:0060689,An alopecia characterized by irreversible hair loss during the neonatal period on all hear-bearing areas of the body followed by development of papular lesions all over the body that has_material_basis_in mutations in the HR gene on chromosome 8p21.3.
atrioventricular block,"['NKX2-5', 'LMNA']",MESH:D054537,DOID:0050820,A heart conduction disease that is characterized by the impairment of the conduction between the atria and ventricles of the heart.
atrioventricular septal defect,"['GATA4', 'CRELD1', 'GATA6']",MESH:D004694,DOID:0050651,"A congenital heart septal defect characterized by an abnormal or inadequate fusion of the superior and inferior endocardial cushions with the mid portion of the atrial septum and the muscular portion of the ventricular septum, thus allowing extra blood to circulate the lungs."
attention deficit hyperactivity disorder,"['AR', 'SLC6A4', 'ACP1', 'ADRA2A', 'DBH', 'GRM8', 'HTR1B', 'TPH1', 'CALY', 'FOXP2', 'DRD4', 'COMT', 'SLC6A3', 'DOCK3', 'HMGCR', 'DRD5', 'DCDC2', 'BAIAP2', 'MTHFR', 'GIT1']",MESH:D001289,DOID:1094,"A specific developmental disorder that is characterized by co-existence of attentional problems and hyperactivity, with each behavior occurring infrequently alone and symptoms starting before seven years of age."
"atypical chronic myeloid leukemia, BCR-ABL1 negative",['FGFR1'],MESH:D054438,DOID:0060597,A myelodysplastic myeloproliferative neoplasm characterized by the principal involvement of the neutrophil series with leukocytosis and multilineage dysplasia. The neoplastic cells do not have a Philadelphia chromosome or the BCR/ABL fusion gene.
atypical hemolytic-uremic syndrome,"['CD46', 'THBD', 'CFI', 'CFB', 'CFHR3', 'CFHR1', 'C3']",MESH:D065766,DOID:0080301,"A complement deficiency that is characterized by mechanical hemolytic anemia, thrombocytopenia, and renal dysfunction."
autism spectrum disorder,"['BCL11A', 'ITGA4', 'COMT', 'MMP9', 'CNTNAP2', 'AHI1', 'MAOA', 'VDR', 'AVPR1B', 'FOXP2', 'DYRK1A', 'MBD6', 'BAIAP2', 'MBD5', 'CYFIP1', 'CADM2']",MESH:D000067877,DOID:0060041,"A pervasive developmental disorder that is a spectrum of psychological conditions. The disease has_symptom widespread abnormalities of social interactions and communication, has_symptom severely restricted interests and has_symptom highly repetitive behavior."
autistic disorder,"['SLC25A12', 'HSPD1', 'LAMB1', 'RPL10', 'GLO1', 'SETDB1', 'MTR', 'MET', 'SLC6A4', 'EIF4E', 'PTCHD1', 'NLGN3', 'PIK3CG', 'DISC1', 'MECP2', 'GRM8', 'HLA-DRB1', 'SLC9A9', 'KDM4C', 'NF1', 'GSTM1', 'SHANK2', 'KCNQ3', 'RELN', 'GABRR2', 'C4B', 'CNTNAP2', 'GABRA4', 'NLGN4X', 'HOXA1', 'GABRA2', 'GABRB2', 'FOXP2', 'NTRK2', 'GABRB1', 'RAPGEF4', 'KMT2E']",MESH:D001321,DOID:12849,"An autism spectrum disorder that is characterized by symptoms across all three symptom domains (communication, social, restricted repetitive interests and behaviors), delayed language development, and symptom onset prior to age 3 years."
autoimmune disease of the nervous system,['ANXA5'],MESH:D020274,DOID:438,An autoimmune disease affecting the nervous system.
autoimmune hemolytic anemia,['CTLA4'],MESH:D000744,DOID:718,An autoimmune disease of blood that is characterized by deficient red blood cells caused by auto-antibodies.
autoimmune hepatitis,"['PDIA3', 'F2', 'STAT4', 'HLA-DRB1', 'HLA-DPB1', 'CYP2D6', 'KIR2DL2', 'VDR', 'PDCD1', 'IL4', 'CTLA4']",MESH:D019693,DOID:2048,An autoimmune disease of gastrointestinal tract that results_in inflammation located_in liver caused by the body's immune system attacking the liver cells.
autoimmune lymphoproliferative syndrome,"['FASLG', 'FAS']",MESH:D056735,DOID:6688,"A hypersensitivity reaction type IV disease that is an inherited disorder in which the body cannot properly regulate the number of immune system cells (lymphocytes). It is characterized by the production of an abnormally large number of lymphocytes. Accumulation of excess lymphocytes results in enlargement of the lymph nodes, the liver, and the spleen."
autoimmune lymphoproliferative syndrome type 2A,['CASP10'],MESH:C565833,DOID:0110115,An autoimmune lymphoproliferative syndrome that has_material_basis_in mutation in the CASP10 gene.
autoimmune pancreatitis,[],MESH:D000081012,DOID:0040091,An autoimmune disease of endocrine system that is located_in the pancreas.
autoimmune polyendocrine syndrome,"['HLA-DRB1', 'AIRE', 'HLA-DQA1']",MESH:D016884,DOID:14040,An autoimmune disease of endocrine system characterized by abnormal functioning of the immune system that causes auto-reactivity against endocrine organs.
autoimmune thrombocytopenic purpura,"['FCGR3A', 'CD86', 'HLA-DRB1', 'FCGR2B', 'PTPN22', 'IL2', 'IL1A', 'IL10', 'DNMT3B', 'IL1RN', 'ITGB3', 'CD40LG', 'IL4', 'FCGR2A']",MESH:D016553,DOID:8924,A primary thrombocytopenia that involves relatively few platelets in blood as a result of autoantibodies.
autoimmune thyroiditis,"['CTLA4', 'HLA-DQA1', 'MBL2', 'HLA-DRB1', 'HLA-DRA', 'PTPN22', 'TG', 'BANK1', 'PSMB9']",MESH:D013967,DOID:7188,An autoimmune disease of endocrine system that involves inflammation located_in thyroid gland caused by the immune system reacting against its own tissues.
autosomal dominant cerebellar ataxia,[],MESH:D020754,DOID:1441,A cerebellar ataxia that has_material_basis_in autosomal dominant inheritance.
autosomal dominant keratitis,['PAX6'],MESH:C537022,DOID:0111383,A keratitis characterized by corneal opacification and vascularization and foveal hypoplasia that has_material_basis_in heterozygous mutation in the PAX6 gene on chromosome 11p13.
autosomal dominant nocturnal frontal lobe epilepsy,['CHRNB2'],MESH:C579932,DOID:0060681,A frontal lobe epilepsy that is characterized by autosomal dominant inheritance with childhood onset of clusters of brief nocturnal motor seizures with hyperkinetic or tonic manifestations.
autosomal dominant osteopetrosis 1,['LRP5'],MESH:C536056,DOID:0110937,"An osteopetrosis characterized by autosomal dominant inheritance of generalized osteosclerosis that is most pronounced in the cranial vault, absence of increased fractures and has_material_basis_in heterozygous mutation in the LRP5 gene on chromosome 11q13."
autosomal dominant osteopetrosis 2,['CLCN7'],MESH:D010022,DOID:0110938,"An osteopetrosis characterized by autosomal dominant inheritance of sclerosis predominantly involving the spine, the pelvis, and the skull base, bone fragility and dental abscesses that has_material_basis_in mutation in the CLCN7 gene on chromosome 16p13."
autosomal dominant polycystic kidney disease,"['LRP5', 'PKD2', 'PKD1']",MESH:D007690,DOID:898,"A polycystic kidney disease characterized by the presence of multiple cysts located_in the kidney resulting from ciliopathy that disrupts the function of primary cilium, inherited in an autosomal dominant fashion."
autosomal dominant pseudohypoaldosteronism type 1,['NR3C2'],MESH:D011546,DOID:0060855,A pseudohypoaldosteronism characterized by Salt wasting resulting from renal unresponsiveness to mineralocorticoids that has_material_basis_in heterozygous mutation in the NR3C2 gene on chromosome 4q31.
autosomal dominant thrombophilia due to protein C deficiency,[],MESH:C567163,DOID:0111909,A thrombophilia characterized by reduced serum levels or impaired activity of PROC and in some patients recurrent venous thrombosis that has_material_basis_in heterozygous mutation in the PROC gene on chromosome 2q14.3.
autosomal dominant vitreoretinochoroidopathy,['BEST1'],MESH:C536352,DOID:0111569,A hereditary retinal dystrophy characterized by abnormal chorioretinal hypopigmentation and hyperpigmentation typically lying between the vortex veins and the ora serrata for 360 degrees and other ocular developmental anomalies that has_material_basis_in heterozygous mutation in the BEST1 gene on chromosome 11q12.3.
